"time.aa.","intensity.aa.","A.aa."
NA,NA,NA
NA,NA,NA
NA,NA,NA
833,0.0003051758,Inf
834,0.0006103516,Inf
835,0.001220703,Inf
836,0.001220703,Inf
837,0.001220703,Inf
838,0.001220703,Inf
839,0.001220703,Inf
840,0.001220703,Inf
841,0.0006103516,Inf
842,0.0003051758,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
850,0.0003051758,Inf
851,0.0006103516,Inf
852,0.001220703,Inf
853,0.001220703,Inf
854,0.001220703,Inf
855,0.0009155273,Inf
856,0.001220703,Inf
857,0.0006103516,Inf
858,0.0003051758,Inf
859,0.0006103516,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
866,0.0003051758,Inf
867,0.0006103516,Inf
868,0.0009155273,Inf
869,0.001220703,Inf
870,0.001220703,Inf
871,0.001220703,Inf
872,0.001220703,Inf
873,0.001220703,Inf
874,0.0006103516,Inf
875,0.0003051758,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
883,0.0006103516,Inf
884,0.0006103516,Inf
885,0.001220703,Inf
886,0.0009155273,Inf
887,0.001220703,Inf
888,0.0009155273,Inf
889,0.001220703,Inf
890,0.001220703,Inf
891,0.0006103516,Inf
892,0.0003051758,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
898,0.0003051758,Inf
NA,NA,NA
900,0.0006103516,Inf
901,0.0006103516,Inf
902,0.001220703,Inf
903,0.001220703,Inf
904,0.001220703,Inf
905,0.001220703,Inf
906,0.001220703,Inf
907,0.0009155273,Inf
908,0.0006103516,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
916,0.0003051758,Inf
917,0.0006103516,Inf
918,0.0009155273,Inf
919,0.001220703,Inf
920,0.001220703,Inf
921,0.001220703,Inf
922,0.001220703,Inf
923,0.0009155273,Inf
924,0.001220703,Inf
925,0.0006103516,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
932,0.0003051758,Inf
933,0.0003051758,Inf
934,0.0006103516,Inf
935,0.0009155273,Inf
936,0.001220703,Inf
937,0.0009155273,Inf
938,0.001220703,Inf
939,0.0009155273,Inf
940,0.0009155273,Inf
941,0.0003051758,Inf
NA,NA,NA
943,0.0003051758,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
950,0.0003051758,Inf
951,0.0006103516,Inf
952,0.001220703,Inf
953,0.001220703,Inf
954,0.001220703,Inf
955,0.001220703,Inf
956,0.001220703,Inf
957,0.0009155273,Inf
958,0.0006103516,Inf
959,0.0003051758,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
966,0.0003051758,Inf
967,0.0006103516,Inf
968,0.0009155273,Inf
969,0.001220703,Inf
970,0.001220703,Inf
971,0.001220703,Inf
972,0.001220703,Inf
973,0.001220703,Inf
974,0.0006103516,Inf
975,0.0006103516,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
983,0.0003051758,Inf
984,0.0006103516,Inf
985,0.001220703,Inf
986,0.0009155273,Inf
987,0.0009155273,Inf
988,0.001220703,Inf
989,0.0009155273,Inf
990,0.001220703,Inf
991,0.0006103516,Inf
992,0.0003051758,Inf
993,0.0003051758,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
1000,0.0006103516,Inf
1001,0.0006103516,Inf
1002,0.001220703,Inf
1003,0.001220703,Inf
1004,0.001220703,Inf
1005,0.001220703,Inf
1006,0.001220703,Inf
1007,0.0006103516,Inf
1008,0.0003051758,Inf
1009,0.0003051758,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
1016,0.0006103516,Inf
1017,0.0006103516,Inf
1018,0.0006103516,Inf
1019,0.0009155273,Inf
1020,0.001220703,Inf
1021,0.001220703,Inf
1022,0.001220703,Inf
1023,0.0006103516,Inf
1024,0.0009155273,Inf
NA,NA,NA
1026,0.0003051758,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
1034,0.0009155273,Inf
1035,0.0009155273,Inf
1036,0.0006103516,Inf
1037,0.001220703,Inf
1038,0.001220703,Inf
1039,0.0009155273,Inf
1040,0.0006103516,Inf
1041,0.0003051758,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
1049,0.0003051758,Inf
1050,0.0006103516,Inf
1051,0.0006103516,Inf
1052,0.001220703,Inf
1053,0.001220703,Inf
1054,0.001220703,Inf
1055,0.001220703,Inf
1056,0.001220703,Inf
1057,0.0006103516,Inf
1058,0.0006103516,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
1066,0.0003051758,Inf
1067,0.0006103516,Inf
1068,0.001220703,Inf
1069,0.0006103516,Inf
1070,0.001220703,Inf
1071,0.001220703,Inf
1072,0.001220703,Inf
1073,0.001220703,Inf
1074,0.0006103516,Inf
1075,0.0006103516,Inf
1076,0.0003051758,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
1083,0.0003051758,Inf
1084,0.0006103516,Inf
1085,0.001220703,Inf
1086,0.0009155273,Inf
1087,0.0009155273,Inf
1088,0.001220703,Inf
1089,0.001220703,Inf
1090,0.0009155273,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
1099,0.0003051758,Inf
1100,0.0006103516,Inf
1101,0.001220703,Inf
1102,0.0009155273,Inf
1103,0.001220703,Inf
1104,0.001220703,Inf
1105,0.001220703,Inf
1106,0.001220703,Inf
1107,0.0006103516,Inf
1108,0.0006103516,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
1117,0.0006103516,Inf
1118,0.0009155273,Inf
1119,0.001220703,Inf
1120,0.0009155273,Inf
1121,0.0009155273,Inf
1122,0.001220703,Inf
1123,0.001220703,Inf
1124,0.0006103516,Inf
1125,0.0003051758,Inf
1126,0.0003051758,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
1133,0.0003051758,Inf
1134,0.0006103516,Inf
1135,0.001220703,Inf
1136,0.001220703,Inf
1137,0.001220703,Inf
1138,0.001220703,Inf
1139,0.001220703,Inf
1140,0.001220703,Inf
1141,0.0003051758,Inf
NA,NA,NA
1143,0.0003051758,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
1150,0.0006103516,Inf
1151,0.0009155273,Inf
1152,0.001220703,Inf
1153,0.001220703,Inf
1154,0.001220703,Inf
1155,0.0009155273,Inf
1156,0.001220703,Inf
1157,0.0006103516,Inf
1158,0.0006103516,Inf
1159,0.0006103516,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
1166,0.0006103516,Inf
1167,0.0006103516,Inf
1168,0.0006103516,Inf
1169,0.001220703,Inf
1170,0.001220703,Inf
1171,0.001220703,Inf
1172,0.001220703,Inf
1173,0.001220703,Inf
1174,0.0006103516,Inf
NA,NA,NA
1176,0.0003051758,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
1183,0.0003051758,Inf
1184,0.0003051758,Inf
1185,0.0009155273,Inf
1186,0.001220703,Inf
1187,0.001220703,Inf
1188,0.001220703,Inf
1189,0.001220703,Inf
1190,0.001220703,Inf
NA,NA,NA
1192,0.0003051758,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
1199,0.0003051758,Inf
1200,0.0006103516,Inf
1201,0.0009155273,Inf
1202,0.001220703,Inf
1203,0.001220703,Inf
1204,0.001220703,Inf
1205,0.001220703,Inf
1206,0.001220703,Inf
1207,0.0006103516,Inf
1208,0.0006103516,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
